OBČINE,Države,Prihodi turistov 2018,Prihodi turistov 2019

Ajdovščina,Države - SKUPAJ,13797,15008
Ankaran/Ancarano,Države - SKUPAJ,83402,83335
Apače,Države - SKUPAJ,725,z
Beltinci,Države - SKUPAJ,256,505
Benedikt,Države - SKUPAJ,952,1472
Bistrica ob Sotli,Države - SKUPAJ,145,407
Bled,Države - SKUPAJ,496677,509247
Bloke,Države - SKUPAJ,2021,z
Bohinj,Države - SKUPAJ,248639,271692
Borovnica,Države - SKUPAJ,407,775
Bovec,Države - SKUPAJ,175705,188514
Braslovče,Države - SKUPAJ,372,431
Brda,Države - SKUPAJ,26159,27468
Brezovica,Države - SKUPAJ,2005,2367
Brežice,Države - SKUPAJ,202780,202470
Cankova,Države - SKUPAJ,801,1026
Celje,Države - SKUPAJ,30855,34162
Cerklje na Gorenjskem,Države - SKUPAJ,43799,44249
Cerknica,Države - SKUPAJ,10109,9696
Cerkno,Države - SKUPAJ,17381,16197
Cerkvenjak,Države - SKUPAJ,578,813
Cirkulane,Države - SKUPAJ,230,104
Črenšovci,Države - SKUPAJ,-,128
Črna na Koroškem,Države - SKUPAJ,472,z
Črnomelj,Države - SKUPAJ,19620,18465
Destrnik,Države - SKUPAJ,484,2930
Divača,Države - SKUPAJ,15836,16081
Dobje,Države - SKUPAJ,z,z
Dobrepolje,Države - SKUPAJ,-,-
Dobrna,Države - SKUPAJ,27066,25460
Dobrova - Polhov Gradec,Države - SKUPAJ,979,1390
Dobrovnik/Dobronak,Države - SKUPAJ,411,267
Dol pri Ljubljani,Države - SKUPAJ,1239,1269
Dolenjske Toplice,Države - SKUPAJ,29736,29270
Domžale,Države - SKUPAJ,24825,34504
Dornava,Države - SKUPAJ,z,z
Dravograd,Države - SKUPAJ,7666,6852
Duplek,Države - SKUPAJ,-,-
Gorenja vas - Poljane,Države - SKUPAJ,4421,4542
Gorišnica,Države - SKUPAJ,z,z
Gorje,Države - SKUPAJ,13180,15612
Gornja Radgona,Države - SKUPAJ,945,887
Gornji Grad,Države - SKUPAJ,1046,765
Gornji Petrovci,Države - SKUPAJ,126,112
Grad,Države - SKUPAJ,z,439
Grosuplje,Države - SKUPAJ,15479,15485
Hajdina,Države - SKUPAJ,5944,6222
Hoče - Slivnica,Države - SKUPAJ,28452,19273
Hodoš/Hodos,Države - SKUPAJ,z,z
Horjul,Države - SKUPAJ,z,z
Hrastnik,Države - SKUPAJ,490,360
Hrpelje - Kozina,Države - SKUPAJ,24275,26386
Idrija,Države - SKUPAJ,9629,9962
Ig,Države - SKUPAJ,1616,1334
Ilirska Bistrica,Države - SKUPAJ,6684,7746
Ivančna Gorica,Države - SKUPAJ,2513,2311
Izola/Isola,Države - SKUPAJ,140690,148173
Jesenice,Države - SKUPAJ,21653,20591
Jezersko,Države - SKUPAJ,6956,8060
Juršinci,Države - SKUPAJ,z,z
Kamnik,Države - SKUPAJ,37552,41396
Kanal,Države - SKUPAJ,2494,3520
Kidričevo,Države - SKUPAJ,z,z
Kobarid,Države - SKUPAJ,67698,79915
Kobilje,Države - SKUPAJ,-,-
Kočevje,Države - SKUPAJ,11053,11125
Komen,Države - SKUPAJ,4787,5220
Komenda,Države - SKUPAJ,957,z
Koper/Capodistria,Države - SKUPAJ,100788,103786
Kostanjevica na Krki,Države - SKUPAJ,1928,1277
Kostel,Države - SKUPAJ,4598,4652
Kozje,Države - SKUPAJ,228,z
Kranj,Države - SKUPAJ,68798,70938
Kranjska Gora,Države - SKUPAJ,308193,325955
Križevci,Države - SKUPAJ,990,986
Krško,Države - SKUPAJ,8216,7274
Kungota,Države - SKUPAJ,3456,4645
Kuzma,Države - SKUPAJ,-,-
Laško,Države - SKUPAJ,93057,83661
Lenart,Države - SKUPAJ,z,z
Lendava/Lendva,Države - SKUPAJ,35059,39105
Litija,Države - SKUPAJ,1201,1467
Ljubljana,Države - SKUPAJ,1022862,1127904
Ljubno,Države - SKUPAJ,6952,7442
Ljutomer,Države - SKUPAJ,25752,26961
Log - Dragomer,Države - SKUPAJ,z,173
Logatec,Države - SKUPAJ,10001,11491
Loška dolina,Države - SKUPAJ,1417,z
Loški Potok,Države - SKUPAJ,1295,716
Lovrenc na Pohorju,Države - SKUPAJ,390,584
Luče,Države - SKUPAJ,7907,8132
Lukovica,Države - SKUPAJ,3902,4635
Majšperk,Države - SKUPAJ,z,z
Makole,Države - SKUPAJ,z,z
Maribor,Države - SKUPAJ,208279,217817
Markovci,Države - SKUPAJ,-,-
Medvode,Države - SKUPAJ,17985,16488
Mengeš,Države - SKUPAJ,2183,1645
Metlika,Države - SKUPAJ,15088,15938
Mežica,Države - SKUPAJ,2838,3066
Miklavž na Dravskem polju,Države - SKUPAJ,924,1639
Miren - Kostanjevica,Države - SKUPAJ,2450,3014
Mirna,Države - SKUPAJ,z,z
Mirna Peč,Države - SKUPAJ,322,189
Mislinja,Države - SKUPAJ,6676,5932
Mokronog - Trebelno,Države - SKUPAJ,467,629
Moravče,Države - SKUPAJ,z,z
Moravske Toplice,Države - SKUPAJ,168760,171930
Mozirje,Države - SKUPAJ,12785,14293
Murska Sobota,Države - SKUPAJ,24251,26807
Muta,Države - SKUPAJ,z,334
Naklo,Države - SKUPAJ,11537,12130
Nazarje,Države - SKUPAJ,2414,474
Nova Gorica,Države - SKUPAJ,107616,102981
Novo mesto,Države - SKUPAJ,47044,46342
Odranci,Države - SKUPAJ,z,z
Oplotnica,Države - SKUPAJ,z,z
Ormož,Države - SKUPAJ,3563,3580
Osilnica,Države - SKUPAJ,z,z
Pesnica,Države - SKUPAJ,1624,1182
Piran/Pirano,Države - SKUPAJ,604592,620495
Pivka,Države - SKUPAJ,4795,9189
Podčetrtek,Države - SKUPAJ,122986,129933
Podlehnik,Države - SKUPAJ,z,z
Podvelka,Države - SKUPAJ,z,174
Poljčane,Države - SKUPAJ,z,z
Polzela,Države - SKUPAJ,18,z
Postojna,Države - SKUPAJ,105497,116330
Prebold,Države - SKUPAJ,3655,3438
Preddvor,Države - SKUPAJ,7768,10532
Prevalje,Države - SKUPAJ,3623,3697
Ptuj,Države - SKUPAJ,64078,66970
Puconci,Države - SKUPAJ,1047,732
Rače - Fram,Države - SKUPAJ,382,688
Radeče,Države - SKUPAJ,318,393
Radenci,Države - SKUPAJ,42097,42650
Radlje ob Dravi,Države - SKUPAJ,1489,2229
Radovljica,Države - SKUPAJ,124026,141012
Ravne na Koroškem,Države - SKUPAJ,3567,3784
Razkrižje,Države - SKUPAJ,z,448
Rečica ob Savinji,Države - SKUPAJ,14752,10847
Renče - Vogrsko,Države - SKUPAJ,10860,z
Ribnica,Države - SKUPAJ,1203,1423
Ribnica na Pohorju,Države - SKUPAJ,7489,8369
Rogaška Slatina,Države - SKUPAJ,59904,58208
Rogašovci,Države - SKUPAJ,866,1186
Rogatec,Države - SKUPAJ,1645,1637
Ruše,Države - SKUPAJ,6222,4387
Selnica ob Dravi,Države - SKUPAJ,4062,4351
Semič,Države - SKUPAJ,5194,5243
Sevnica,Države - SKUPAJ,2705,2924
Sežana,Države - SKUPAJ,69348,70685
Slovenj Gradec,Države - SKUPAJ,6756,8571
Slovenska Bistrica,Države - SKUPAJ,20231,20389
Slovenske Konjice,Države - SKUPAJ,3614,3448
Sodražica,Države - SKUPAJ,z,z
Solčava,Države - SKUPAJ,16838,14891
Središče ob Dravi,Države - SKUPAJ,-,-
Starše,Države - SKUPAJ,z,z
Straža,Države - SKUPAJ,1157,1064
Sveta Ana,Države - SKUPAJ,z,z
Sveta Trojica v Slov. goricah,Države - SKUPAJ,40,z
Sveti Andraž v Slov. goricah,Države - SKUPAJ,91,z
Sveti Jurij ob Ščavnici,Države - SKUPAJ,z,198
Sveti Jurij v Slov. goricah,Države - SKUPAJ,z,z
Sveti Tomaž,Države - SKUPAJ,-,-
Šalovci,Države - SKUPAJ,563,927
Šempeter - Vrtojba,Države - SKUPAJ,8331,z
Šenčur,Države - SKUPAJ,8435,9322
Šentilj,Države - SKUPAJ,11765,12400
Šentjernej,Države - SKUPAJ,543,226
Šentjur,Države - SKUPAJ,465,941
Šentrupert,Države - SKUPAJ,193,z
Škocjan,Države - SKUPAJ,2424,2617
Škofja Loka,Države - SKUPAJ,10418,10913
Škofljica,Države - SKUPAJ,899,3151
Šmarje pri Jelšah,Države - SKUPAJ,783,746
Šmarješke Toplice,Države - SKUPAJ,18023,16730
Šmartno ob Paki,Države - SKUPAJ,z,z
Šmartno pri Litiji,Države - SKUPAJ,z,-
Šoštanj,Države - SKUPAJ,33707,34292
Štore,Države - SKUPAJ,624,870
Tabor,Države - SKUPAJ,z,z
Tišina,Države - SKUPAJ,-,-
Tolmin,Države - SKUPAJ,56446,61809
Trbovlje,Države - SKUPAJ,1230,917
Trebnje,Države - SKUPAJ,11703,13468
Trnovska vas,Države - SKUPAJ,-,-
Trzin,Države - SKUPAJ,747,864
Tržič,Države - SKUPAJ,6702,8263
Turnišče,Države - SKUPAJ,-,-
Velenje,Države - SKUPAJ,13507,12372
Velika Polana,Države - SKUPAJ,-,-
Velike Lašče,Države - SKUPAJ,313,628
Veržej,Države - SKUPAJ,35400,30532
Videm,Države - SKUPAJ,5928,6837
Vipava,Države - SKUPAJ,7517,9134
Vitanje,Države - SKUPAJ,758,871
Vodice,Države - SKUPAJ,819,1179
Vojnik,Države - SKUPAJ,3023,1110
Vransko,Države - SKUPAJ,2123,3662
Vrhnika,Države - SKUPAJ,13122,10349
Vuzenica,Države - SKUPAJ,206,z
Zagorje ob Savi,Države - SKUPAJ,1955,1840
Zavrč,Države - SKUPAJ,z,z
Zreče,Države - SKUPAJ,76612,78935
Žalec,Države - SKUPAJ,6563,8924
Železniki,Države - SKUPAJ,4819,7869
Žetale,Države - SKUPAJ,z,z
Žiri,Države - SKUPAJ,493,628
Žirovnica,Države - SKUPAJ,7402,9567
Žužemberk,Države - SKUPAJ,2008,1320
